UserId,Gender,DateOfBirth,PremiumPupil
99909,2,,
37282,1,2003-09-01 00:00:00.000,
90151,1,,
99252,1,2005-06-01 00:00:00.000,
5954,2,2008-06-01 00:00:00.000,
95895,1,2004-04-01 00:00:00.000,0.0
86409,2,2006-03-01 00:00:00.000,
93811,1,,
79835,1,2003-09-01 00:00:00.000,0.0
45965,1,2006-10-01 00:00:00.000,
36928,1,2003-12-01 00:00:00.000,
41895,1,2009-11-01 00:00:00.000,0.0
32848,2,2003-10-01 00:00:00.000,0.0
15297,1,2004-11-01 00:00:00.000,0.0
48438,1,2004-08-01 00:00:00.000,0.0
117343,1,2003-11-01 00:00:00.000,0.0
39486,1,2007-11-01 00:00:00.000,0.0
72961,1,2004-08-01 00:00:00.000,
28792,1,2006-04-01 00:00:00.000,
84885,0,,
59007,2,2004-12-01 00:00:00.000,1.0
71086,1,2007-12-01 00:00:00.000,0.0
75909,2,2009-06-01 00:00:00.000,
100293,0,,
15980,1,2007-04-01 00:00:00.000,
52747,2,2005-04-01 00:00:00.000,
43584,2,2005-03-01 00:00:00.000,0.0
7814,0,2007-08-01 00:00:00.000,
42306,2,2003-10-01 00:00:00.000,1.0
75657,2,2005-06-01 00:00:00.000,
93232,2,2003-06-01 00:00:00.000,
45631,2,2018-08-01 00:00:00.000,
48832,1,2006-12-01 00:00:00.000,0.0
73712,0,,
69820,0,,
115300,0,2005-06-01 00:00:00.000,
73523,1,2007-05-01 00:00:00.000,0.0
74700,2,2003-09-01 00:00:00.000,
102540,0,,
69251,1,2009-06-01 00:00:00.000,
7608,1,2005-08-01 00:00:00.000,
32084,2,2008-01-01 00:00:00.000,
91736,0,2005-06-01 00:00:00.000,
116897,1,2008-07-01 00:00:00.000,0.0
36871,0,,
47970,2,,
88037,1,2009-02-01 00:00:00.000,
89790,1,2005-12-01 00:00:00.000,
70611,1,2007-07-01 00:00:00.000,
70841,0,,
34921,1,2008-02-01 00:00:00.000,0.0
32544,1,2004-11-01 00:00:00.000,
65240,2,2008-02-01 00:00:00.000,0.0
96885,0,,
86553,0,2006-09-01 00:00:00.000,
114408,0,,
19771,1,2007-04-01 00:00:00.000,
8240,1,2006-06-01 00:00:00.000,1.0
56822,1,2007-01-01 00:00:00.000,
48309,0,,
82896,1,2007-02-01 00:00:00.000,
116436,2,2007-09-01 00:00:00.000,
41614,0,,
115731,0,,
7191,2,2004-11-01 00:00:00.000,
58948,2,2006-01-01 00:00:00.000,
5033,2,2008-07-01 00:00:00.000,0.0
5343,0,,
118508,1,2005-05-01 00:00:00.000,
75439,0,,
29425,1,,
67769,1,2003-09-01 00:00:00.000,
4765,1,2003-10-01 00:00:00.000,
112782,0,2005-12-01 00:00:00.000,
101367,2,2008-01-01 00:00:00.000,0.0
28822,1,2006-01-01 00:00:00.000,
92353,2,,
87584,0,,
70623,1,,
61744,1,2004-09-01 00:00:00.000,0.0
67379,1,2004-10-01 00:00:00.000,
79995,2,2005-03-01 00:00:00.000,0.0
100199,1,2005-03-01 00:00:00.000,
48174,2,2007-12-01 00:00:00.000,0.0
66365,2,2010-02-01 00:00:00.000,
118050,2,,
27460,2,2008-11-01 00:00:00.000,
96155,0,,
64790,0,,
13432,2,2006-06-01 00:00:00.000,
91908,2,2004-11-01 00:00:00.000,
51403,1,2006-10-01 00:00:00.000,1.0
72450,2,2006-04-01 00:00:00.000,1.0
20325,0,,
60583,2,2003-09-01 00:00:00.000,0.0
107476,0,,
55603,1,,
19489,2,2002-11-01 00:00:00.000,
88393,0,,
84076,2,2004-03-01 00:00:00.000,0.0
109560,2,2005-03-01 00:00:00.000,0.0
38679,2,2003-08-01 00:00:00.000,
86223,2,2007-07-01 00:00:00.000,
38614,2,,
39790,1,2003-12-01 00:00:00.000,0.0
41954,1,,
65176,2,2002-12-01 00:00:00.000,0.0
60357,0,,
83053,2,2005-01-01 00:00:00.000,
18462,2,2007-08-01 00:00:00.000,
87316,0,,
97748,1,2007-03-01 00:00:00.000,
112695,1,2004-09-01 00:00:00.000,
60008,1,2005-10-01 00:00:00.000,1.0
3842,1,2003-03-01 00:00:00.000,
64322,1,2005-10-01 00:00:00.000,1.0
2214,0,,
76149,2,2003-09-01 00:00:00.000,
62062,1,2007-07-01 00:00:00.000,
105549,1,,
54082,1,2003-11-01 00:00:00.000,1.0
63381,0,,
11494,1,2004-08-01 00:00:00.000,0.0
114622,1,2007-10-01 00:00:00.000,
36639,2,2007-04-01 00:00:00.000,
82244,1,2004-08-01 00:00:00.000,
57709,2,2004-03-01 00:00:00.000,
112412,1,2009-02-01 00:00:00.000,
63147,1,2006-04-01 00:00:00.000,
8824,2,1990-11-01 00:00:00.000,
88109,2,2007-10-01 00:00:00.000,
68152,1,2006-04-01 00:00:00.000,0.0
9559,2,2006-10-01 00:00:00.000,
19026,0,,
66773,0,,
62939,2,2003-11-01 00:00:00.000,
102147,2,2010-01-01 00:00:00.000,0.0
71022,0,,
64508,0,,
64568,1,2003-10-01 00:00:00.000,0.0
35649,1,,
5682,2,2004-06-01 00:00:00.000,
67798,2,2008-05-01 00:00:00.000,0.0
53142,2,2009-11-01 00:00:00.000,
99633,1,2010-10-01 00:00:00.000,0.0
7175,1,2004-04-01 00:00:00.000,
15975,1,2006-09-01 00:00:00.000,0.0
105560,0,,
42443,2,2007-08-01 00:00:00.000,
45390,0,,
64931,1,2005-12-01 00:00:00.000,
71087,0,,
69781,2,2003-12-01 00:00:00.000,0.0
68404,2,2007-12-01 00:00:00.000,
55521,1,2009-04-01 00:00:00.000,
35339,2,2008-07-01 00:00:00.000,0.0
83805,1,2006-07-01 00:00:00.000,1.0
56896,2,2005-01-01 00:00:00.000,1.0
27591,2,2005-05-01 00:00:00.000,0.0
48580,2,2005-01-01 00:00:00.000,
65421,1,2004-04-01 00:00:00.000,1.0
29346,1,2004-06-01 00:00:00.000,0.0
13562,0,,
64935,0,,
88514,2,2005-09-01 00:00:00.000,
109099,2,2007-01-01 00:00:00.000,0.0
78758,1,2005-03-01 00:00:00.000,
70374,2,,
17121,0,,
101763,0,,
72804,1,2003-07-01 00:00:00.000,
81456,0,,
11103,1,2008-01-01 00:00:00.000,
70814,2,2009-01-01 00:00:00.000,
98911,2,2008-08-01 00:00:00.000,
26018,2,2009-05-01 00:00:00.000,
13557,1,2013-05-01 00:00:00.000,0.0
77895,1,,
3633,0,,
38243,1,2003-09-01 00:00:00.000,1.0
7786,2,,
42336,2,2006-11-01 00:00:00.000,
94275,2,2008-03-01 00:00:00.000,
65749,1,2008-11-01 00:00:00.000,0.0
43469,1,2010-03-01 00:00:00.000,
102764,2,2004-01-01 00:00:00.000,0.0
113047,2,2005-09-01 00:00:00.000,0.0
72416,1,2005-09-01 00:00:00.000,
74432,0,,
14421,0,,
50849,2,,
104278,1,,
58570,0,,
24175,0,,
41245,2,2003-08-01 00:00:00.000,
98083,2,,
8821,2,2008-05-01 00:00:00.000,0.0
8019,1,,
62285,0,,
72097,1,2005-04-01 00:00:00.000,
16951,2,2006-04-01 00:00:00.000,1.0
28812,1,2005-08-01 00:00:00.000,
62287,1,2007-12-01 00:00:00.000,1.0
8418,2,2004-08-01 00:00:00.000,0.0
21051,1,2003-01-01 00:00:00.000,
112404,1,2006-08-01 00:00:00.000,
76127,0,2019-01-01 00:00:00.000,
3514,2,2005-09-01 00:00:00.000,
18312,2,2002-05-01 00:00:00.000,
114175,2,2012-03-01 00:00:00.000,
50624,2,2004-05-01 00:00:00.000,
39102,0,,
108490,1,2004-01-01 00:00:00.000,
86379,1,2006-10-01 00:00:00.000,
62736,1,,
6091,2,2008-07-01 00:00:00.000,
92768,1,2006-08-01 00:00:00.000,
88787,0,,
85205,1,,
114093,0,,
91367,1,2007-01-01 00:00:00.000,
115888,2,2003-11-01 00:00:00.000,
110036,0,,
50820,1,2003-09-01 00:00:00.000,
34587,2,2002-10-01 00:00:00.000,
27075,1,,
30851,1,2007-03-01 00:00:00.000,0.0
78481,1,2006-11-01 00:00:00.000,
105295,1,2006-06-01 00:00:00.000,0.0
27394,1,2003-08-01 00:00:00.000,
62270,1,2006-09-01 00:00:00.000,
108653,1,2004-05-01 00:00:00.000,0.0
77438,2,2007-03-01 00:00:00.000,0.0
34517,1,2004-11-01 00:00:00.000,0.0
107668,2,,
65812,0,,
71753,2,,
99779,2,2006-08-01 00:00:00.000,
39994,1,,
10154,1,2005-03-01 00:00:00.000,
72251,0,,
111140,0,,
43923,2,2018-12-01 00:00:00.000,
39863,1,2008-05-01 00:00:00.000,
69666,1,,
49756,1,2004-05-01 00:00:00.000,0.0
47547,2,2005-09-01 00:00:00.000,0.0
67738,1,,
3339,2,2020-12-01 00:00:00.000,
82,1,2002-12-01 00:00:00.000,
17629,2,2007-07-01 00:00:00.000,0.0
71749,0,,
51298,1,2005-03-01 00:00:00.000,
96921,2,2007-04-01 00:00:00.000,0.0
72653,1,2005-06-01 00:00:00.000,
62981,1,2003-11-01 00:00:00.000,0.0
2744,2,2004-03-01 00:00:00.000,0.0
100699,1,2018-01-01 00:00:00.000,
37081,1,2004-12-01 00:00:00.000,1.0
60004,0,,
57155,2,,
88173,2,2004-06-01 00:00:00.000,1.0
70627,1,2004-12-01 00:00:00.000,
14757,1,2007-02-01 00:00:00.000,
56017,1,2009-01-01 00:00:00.000,0.0
40092,1,2002-09-01 00:00:00.000,
60731,0,,
44513,0,,
64585,0,,
37990,2,2009-02-01 00:00:00.000,
109183,0,,
4666,2,2003-11-01 00:00:00.000,
28586,0,,
59792,0,,
13886,0,,
28093,0,,
96776,2,2004-07-01 00:00:00.000,0.0
54824,2,2003-12-01 00:00:00.000,1.0
86021,1,2005-03-01 00:00:00.000,
96739,2,2006-12-01 00:00:00.000,
115680,0,,
1381,1,2002-10-01 00:00:00.000,
54534,1,2008-02-01 00:00:00.000,0.0
63984,2,2004-08-01 00:00:00.000,0.0
3344,1,,
7063,1,2007-01-01 00:00:00.000,0.0
65157,0,2006-03-01 00:00:00.000,
36498,1,2010-12-01 00:00:00.000,
87887,2,,
34713,2,2005-08-01 00:00:00.000,
88036,2,2005-06-01 00:00:00.000,
25793,2,,
79211,1,2008-02-01 00:00:00.000,
41972,2,2003-07-01 00:00:00.000,
9605,2,,
2094,2,2003-03-01 00:00:00.000,0.0
9222,2,,
96468,2,2003-03-01 00:00:00.000,
115397,1,2003-04-01 00:00:00.000,
86122,1,2006-09-01 00:00:00.000,0.0
20758,1,2005-04-01 00:00:00.000,
14275,0,,
36931,0,,
62980,2,2006-02-01 00:00:00.000,
10160,2,,
117487,1,2004-05-01 00:00:00.000,0.0
103726,1,2010-02-01 00:00:00.000,0.0
101829,2,,
74510,1,2006-11-01 00:00:00.000,0.0
54486,2,2006-12-01 00:00:00.000,0.0
23604,0,,
66120,1,2008-05-01 00:00:00.000,
92385,1,2007-03-01 00:00:00.000,
91077,2,2004-01-01 00:00:00.000,
53087,0,,
41376,0,,
9112,1,2008-07-01 00:00:00.000,0.0
32908,1,2006-02-01 00:00:00.000,
19233,2,2002-11-01 00:00:00.000,
80408,2,,
9785,1,2004-08-01 00:00:00.000,1.0
55531,0,,
13057,1,2004-03-01 00:00:00.000,
65293,2,2007-02-01 00:00:00.000,0.0
108709,0,,
23419,1,,
28486,1,2004-02-01 00:00:00.000,
66559,2,2004-07-01 00:00:00.000,0.0
8670,0,,
15561,2,2004-03-01 00:00:00.000,
95446,1,,
53792,1,2006-10-01 00:00:00.000,
44661,2,2005-05-01 00:00:00.000,
84064,1,,
53007,2,,
103497,0,2005-09-01 00:00:00.000,
104434,1,,
44697,2,2007-07-01 00:00:00.000,0.0
90498,2,2005-12-01 00:00:00.000,
25204,2,2005-10-01 00:00:00.000,
68589,1,2005-08-01 00:00:00.000,
116735,2,2007-05-01 00:00:00.000,0.0
49476,2,2004-12-01 00:00:00.000,
100681,1,2003-12-01 00:00:00.000,
61164,2,2006-08-01 00:00:00.000,
40470,1,2002-11-01 00:00:00.000,0.0
87797,1,2007-05-01 00:00:00.000,
88362,2,2005-11-01 00:00:00.000,
73929,2,2009-09-01 00:00:00.000,1.0
63146,0,,
7586,1,2004-12-01 00:00:00.000,0.0
81763,0,,
84617,2,,
15238,2,2005-09-01 00:00:00.000,0.0
10549,1,2004-05-01 00:00:00.000,
20579,1,2006-09-01 00:00:00.000,0.0
113357,2,2010-07-01 00:00:00.000,1.0
970,1,2004-07-01 00:00:00.000,1.0
103926,2,2005-08-01 00:00:00.000,0.0
110360,1,,
6556,0,,
46483,1,2009-08-01 00:00:00.000,0.0
17209,1,2005-02-01 00:00:00.000,
66622,2,2005-01-01 00:00:00.000,
71189,1,2003-12-01 00:00:00.000,0.0
70993,0,,
78168,1,2005-09-01 00:00:00.000,
56893,2,2009-06-01 00:00:00.000,
82300,2,2005-08-01 00:00:00.000,0.0
77145,0,,
49451,1,2007-05-01 00:00:00.000,0.0
95403,0,,
33625,2,2006-05-01 00:00:00.000,
70985,2,2009-02-01 00:00:00.000,
86698,1,2008-05-01 00:00:00.000,0.0
19627,1,2004-01-01 00:00:00.000,
105559,1,2002-09-01 00:00:00.000,
23595,2,,
6514,0,,
86625,2,2007-08-01 00:00:00.000,
35806,2,2009-03-01 00:00:00.000,1.0
44297,1,2005-01-01 00:00:00.000,
67009,1,,
85878,2,2005-12-01 00:00:00.000,0.0
25273,1,2005-09-01 00:00:00.000,0.0
118475,1,2003-11-01 00:00:00.000,
64308,2,2010-06-01 00:00:00.000,0.0
58854,1,2004-03-01 00:00:00.000,0.0
77249,2,2007-06-01 00:00:00.000,0.0
92906,1,2002-09-01 00:00:00.000,
111812,2,2004-10-01 00:00:00.000,1.0
27275,2,2003-11-01 00:00:00.000,
90673,2,,
20167,2,2006-03-01 00:00:00.000,0.0
72111,1,2004-12-01 00:00:00.000,
56212,0,,
105803,1,2003-12-01 00:00:00.000,1.0
102257,2,2005-02-01 00:00:00.000,
19363,2,2009-04-01 00:00:00.000,0.0
57037,0,,
112475,2,2003-11-01 00:00:00.000,
31151,1,2008-06-01 00:00:00.000,
13110,2,,
104613,2,2008-08-01 00:00:00.000,0.0
114839,0,,
115657,0,2006-02-01 00:00:00.000,
41331,1,1996-07-01 00:00:00.000,
91607,2,2005-09-01 00:00:00.000,
98957,2,2006-09-01 00:00:00.000,0.0
22990,2,2008-08-01 00:00:00.000,
10372,1,2007-11-01 00:00:00.000,
26196,2,,
44370,2,,
59673,2,2003-11-01 00:00:00.000,0.0
26478,2,2004-11-01 00:00:00.000,1.0
9299,2,2004-07-01 00:00:00.000,0.0
53671,1,2004-01-01 00:00:00.000,0.0
22961,2,2005-04-01 00:00:00.000,
115550,2,2007-03-01 00:00:00.000,1.0
88696,1,2013-08-01 00:00:00.000,0.0
13623,1,1989-10-01 00:00:00.000,
4000,2,2004-06-01 00:00:00.000,0.0
106844,0,,
91087,2,2005-01-01 00:00:00.000,0.0
17668,0,,
27528,2,2005-09-01 00:00:00.000,0.0
86780,1,2007-05-01 00:00:00.000,0.0
3074,2,2006-11-01 00:00:00.000,0.0
48605,0,,
77526,2,2001-04-01 00:00:00.000,
22190,2,2004-03-01 00:00:00.000,1.0
65680,2,2005-12-01 00:00:00.000,
49692,0,,
109051,2,2006-11-01 00:00:00.000,1.0
64062,1,2006-11-01 00:00:00.000,
61185,1,,
33679,0,,
89258,1,2003-11-01 00:00:00.000,0.0
21698,1,2007-03-01 00:00:00.000,
37790,0,,
96926,2,2005-12-01 00:00:00.000,1.0
85406,1,2008-10-01 00:00:00.000,
82861,0,,
82440,1,2007-06-01 00:00:00.000,
53841,1,2006-02-01 00:00:00.000,1.0
7960,1,2009-06-01 00:00:00.000,
41069,0,2008-12-01 00:00:00.000,
115838,1,2006-05-01 00:00:00.000,
3850,2,,
69431,1,2004-08-01 00:00:00.000,
20879,0,,
66681,0,,
70634,1,2006-08-01 00:00:00.000,
13285,0,,
26114,2,,
12669,0,,
108402,1,2002-07-01 00:00:00.000,
32553,0,,
65578,1,2011-07-01 00:00:00.000,0.0
42152,0,,
57560,2,2004-02-01 00:00:00.000,1.0
94360,1,2011-07-01 00:00:00.000,0.0
51583,2,,
117124,1,,
18868,2,2005-03-01 00:00:00.000,0.0
18673,1,2005-04-01 00:00:00.000,
22076,0,,
37534,2,,
26898,2,2006-09-01 00:00:00.000,
54259,0,,
27623,2,2005-10-01 00:00:00.000,
95149,2,,
110157,2,2004-07-01 00:00:00.000,
31271,2,2006-01-01 00:00:00.000,0.0
6280,0,,
81029,2,2007-11-01 00:00:00.000,
34534,2,2005-04-01 00:00:00.000,0.0
77297,1,2004-12-01 00:00:00.000,
47898,1,2008-01-01 00:00:00.000,
61946,2,2004-10-01 00:00:00.000,
110073,1,,
22943,0,,
105377,1,2004-02-01 00:00:00.000,1.0
41447,2,2006-10-01 00:00:00.000,
27221,1,2008-09-01 00:00:00.000,
31659,2,2008-04-01 00:00:00.000,
35189,1,2005-02-01 00:00:00.000,
42832,1,2007-08-01 00:00:00.000,0.0
63606,1,2003-09-01 00:00:00.000,
115346,2,2006-07-01 00:00:00.000,
61150,2,2006-05-01 00:00:00.000,0.0
20161,0,,
18348,1,2008-01-01 00:00:00.000,0.0
27404,1,2005-03-01 00:00:00.000,
48560,1,2005-12-01 00:00:00.000,
52707,2,2005-10-01 00:00:00.000,1.0
22062,0,,
117269,0,,
15351,1,2006-06-01 00:00:00.000,0.0
40066,1,2004-06-01 00:00:00.000,0.0
105953,2,,
20674,2,,
84303,1,2004-01-01 00:00:00.000,
106736,0,,
92403,2,2005-07-01 00:00:00.000,
3389,0,,
55532,2,2007-10-01 00:00:00.000,
1042,2,2004-02-01 00:00:00.000,0.0
18182,1,1994-07-01 00:00:00.000,
49568,0,,
12273,1,2005-11-01 00:00:00.000,1.0
93776,1,2008-04-01 00:00:00.000,0.0
105553,2,2004-06-01 00:00:00.000,
90588,1,2008-05-01 00:00:00.000,0.0
74951,2,2005-04-01 00:00:00.000,
1216,2,2004-02-01 00:00:00.000,1.0
111040,1,2003-10-01 00:00:00.000,0.0
46257,2,2007-02-01 00:00:00.000,
35776,0,,
56838,2,2006-12-01 00:00:00.000,1.0
115005,0,,
30993,1,2001-07-01 00:00:00.000,
112181,1,1969-06-01 00:00:00.000,
12203,1,2003-07-01 00:00:00.000,
87509,2,2003-10-01 00:00:00.000,0.0
65616,2,,
64900,1,1975-05-01 00:00:00.000,
16993,0,,
39033,2,,
55107,2,2007-11-01 00:00:00.000,0.0
91769,2,2009-06-01 00:00:00.000,
67909,2,2004-07-01 00:00:00.000,
112080,0,,
100023,1,,
104707,1,2008-01-01 00:00:00.000,0.0
3701,1,2002-11-01 00:00:00.000,
12551,2,2007-07-01 00:00:00.000,0.0
34708,1,,
14212,2,2004-10-01 00:00:00.000,
18527,1,,
61584,2,2009-03-01 00:00:00.000,
58448,0,,
104950,1,,
28524,2,2004-04-01 00:00:00.000,
37594,2,2004-04-01 00:00:00.000,
13599,0,,
17506,2,2006-07-01 00:00:00.000,0.0
53945,0,,
71165,1,2003-10-01 00:00:00.000,
18288,1,2005-10-01 00:00:00.000,0.0
2740,1,2005-03-01 00:00:00.000,
84715,2,2004-06-01 00:00:00.000,0.0
117257,2,2003-09-01 00:00:00.000,
66260,1,2004-04-01 00:00:00.000,1.0
44962,0,,
563,2,,
53363,2,2004-08-01 00:00:00.000,0.0
100275,2,2005-12-01 00:00:00.000,
70881,2,2008-01-01 00:00:00.000,
55444,2,2004-07-01 00:00:00.000,0.0
88316,0,2006-05-01 00:00:00.000,
16109,1,2004-08-01 00:00:00.000,0.0
43270,1,2007-10-01 00:00:00.000,
92971,0,,
79698,2,2005-05-01 00:00:00.000,
95571,2,2005-03-01 00:00:00.000,1.0
32711,2,2004-11-01 00:00:00.000,
112688,1,2007-06-01 00:00:00.000,
117050,2,2008-08-01 00:00:00.000,
30350,2,2003-12-01 00:00:00.000,0.0
58832,2,2004-02-01 00:00:00.000,0.0
23726,2,2009-10-01 00:00:00.000,0.0
63764,1,2005-06-01 00:00:00.000,0.0
58221,0,,
41718,2,,
26021,0,,
84983,0,,
113859,1,2003-06-01 00:00:00.000,0.0
44190,1,2005-06-01 00:00:00.000,1.0
111887,2,2007-11-01 00:00:00.000,0.0
56535,2,2003-11-01 00:00:00.000,
73259,0,,
70065,0,,
11764,1,1976-12-01 00:00:00.000,
92128,1,2003-12-01 00:00:00.000,
96505,0,,
33428,2,2002-10-01 00:00:00.000,
33047,1,2004-01-01 00:00:00.000,0.0
88235,1,2003-10-01 00:00:00.000,0.0
85237,0,,
6176,2,2005-08-01 00:00:00.000,0.0
87164,1,2008-03-01 00:00:00.000,
48777,2,2004-12-01 00:00:00.000,
62409,2,2007-11-01 00:00:00.000,
76228,1,2005-04-01 00:00:00.000,
11486,1,2006-09-01 00:00:00.000,
50515,0,,
25938,0,,
47788,2,2002-07-01 00:00:00.000,
86205,2,2003-04-01 00:00:00.000,
40230,1,2007-03-01 00:00:00.000,
6645,0,,
94321,1,,
79240,1,2008-09-01 00:00:00.000,1.0
63932,2,2000-01-01 00:00:00.000,
102742,1,,
109116,1,,
87758,1,,
11382,1,2010-12-01 00:00:00.000,0.0
77278,1,2005-04-01 00:00:00.000,
62403,2,2003-02-01 00:00:00.000,0.0
85124,2,2004-07-01 00:00:00.000,0.0
108499,0,,
110310,2,2003-09-01 00:00:00.000,
117993,2,2002-01-01 00:00:00.000,
6707,0,,
96083,2,2006-07-01 00:00:00.000,0.0
23884,2,2004-06-01 00:00:00.000,0.0
26500,2,2007-02-01 00:00:00.000,
15400,2,2006-12-01 00:00:00.000,
59663,2,2007-11-01 00:00:00.000,
11816,2,2004-10-01 00:00:00.000,0.0
48136,0,,
49389,2,2006-11-01 00:00:00.000,0.0
73826,2,2007-02-01 00:00:00.000,1.0
56719,0,,
57738,0,,
112701,2,2004-11-01 00:00:00.000,
85845,1,2003-03-01 00:00:00.000,0.0
30246,0,,
102907,0,2005-05-01 00:00:00.000,
72750,0,2007-08-01 00:00:00.000,
55518,2,2013-01-01 00:00:00.000,0.0
116332,2,2003-10-01 00:00:00.000,0.0
99692,2,2003-06-01 00:00:00.000,0.0
58578,2,2004-02-01 00:00:00.000,1.0
43474,1,2019-01-01 00:00:00.000,
53757,0,2004-04-01 00:00:00.000,
7551,2,2006-03-01 00:00:00.000,
36158,1,2005-12-01 00:00:00.000,
38457,0,,
89209,0,,
46148,1,2007-10-01 00:00:00.000,0.0
60123,1,2002-12-01 00:00:00.000,
39835,1,2003-07-01 00:00:00.000,
25974,1,2003-04-01 00:00:00.000,
70972,0,,
57503,1,2004-10-01 00:00:00.000,1.0
17156,0,,
15966,1,2004-12-01 00:00:00.000,
81968,2,2007-10-01 00:00:00.000,0.0
41022,1,,
45650,1,2004-08-01 00:00:00.000,0.0
83381,1,2010-05-01 00:00:00.000,0.0
953,2,2018-07-01 00:00:00.000,
116647,0,,
46053,1,2006-06-01 00:00:00.000,1.0
66187,1,2010-09-01 00:00:00.000,
100138,2,,
14547,1,2006-03-01 00:00:00.000,
46312,2,,
18412,0,,
70877,1,2004-04-01 00:00:00.000,0.0
42888,2,2005-04-01 00:00:00.000,
70415,2,2003-09-01 00:00:00.000,1.0
24617,2,,
58099,0,,
11811,1,2004-09-01 00:00:00.000,
36270,2,2003-12-01 00:00:00.000,0.0
113980,1,2004-08-01 00:00:00.000,
37827,0,,
108079,1,2004-03-01 00:00:00.000,0.0
32456,2,2003-08-01 00:00:00.000,
79847,2,,
104780,0,,
28162,1,2004-10-01 00:00:00.000,
2767,1,2004-01-01 00:00:00.000,
63231,2,2004-11-01 00:00:00.000,0.0
79662,1,2008-07-01 00:00:00.000,1.0
98166,0,,
118946,0,,
75116,2,2005-11-01 00:00:00.000,0.0
1284,1,2007-11-01 00:00:00.000,0.0
69402,1,2005-12-01 00:00:00.000,
38912,2,2005-12-01 00:00:00.000,0.0
94475,2,2007-01-01 00:00:00.000,
79718,1,2009-05-01 00:00:00.000,0.0
13878,0,,
75749,1,2005-06-01 00:00:00.000,0.0
73351,0,2004-04-01 00:00:00.000,
85950,0,,
112436,2,2002-11-01 00:00:00.000,0.0
114050,1,2004-04-01 00:00:00.000,0.0
112045,2,2003-11-01 00:00:00.000,1.0
116451,2,2004-05-01 00:00:00.000,0.0
15285,1,2004-10-01 00:00:00.000,0.0
45985,0,,
17244,2,2004-04-01 00:00:00.000,1.0
14840,0,,
79509,1,2004-06-01 00:00:00.000,0.0
115383,2,1995-12-01 00:00:00.000,
83224,2,2006-10-01 00:00:00.000,0.0
107588,1,,
47640,1,2007-04-01 00:00:00.000,
66857,1,2006-11-01 00:00:00.000,0.0
67285,2,2008-09-01 00:00:00.000,
116443,0,,
35270,2,2005-05-01 00:00:00.000,0.0
56843,1,2005-03-01 00:00:00.000,
67627,1,2006-07-01 00:00:00.000,0.0
18461,2,2004-07-01 00:00:00.000,0.0
99896,0,,
73708,2,2004-04-01 00:00:00.000,
20289,0,,
98831,1,2006-12-01 00:00:00.000,
67210,2,2003-08-01 00:00:00.000,
42884,1,2005-12-01 00:00:00.000,
31075,0,,
98756,1,2008-12-01 00:00:00.000,0.0
72681,0,,
86116,0,,
91472,2,,
45577,0,,
56503,1,2005-05-01 00:00:00.000,
87084,0,,
88984,2,2008-03-01 00:00:00.000,
50248,1,2005-02-01 00:00:00.000,
78955,1,2006-09-01 00:00:00.000,
5206,0,,
13789,0,,
85750,1,2006-11-01 00:00:00.000,
84316,2,2008-06-01 00:00:00.000,
56833,0,,
19865,1,2002-11-01 00:00:00.000,
22771,1,2003-04-01 00:00:00.000,
62585,1,2002-04-01 00:00:00.000,
