QuestionId,SubjectId
18208,"[3, 71, 77, 186]"
15601,"[3, 71, 77, 186, 187]"
4163,"[3, 71, 77, 187]"
25378,"[3, 32, 71, 98, 144, 195, 203]"
23037,"[3, 71, 79, 269]"
718,"[3, 71, 79, 269]"
23941,"[3, 71, 176, 177]"
11364,"[3, 71, 85, 176, 177]"
10561,"[3, 71, 86, 178]"
11489,"[3, 71, 86, 178]"
19874,"[3, 71, 88, 91, 174, 276]"
1887,"[3, 71, 88, 174]"
2889,"[3, 71, 94, 278]"
22855,"[3, 71, 93, 278]"
1811,"[3, 71, 95, 278]"
6456,"[3, 71, 92, 278]"
25040,"[3, 71, 95, 278]"
14164,"[3, 71, 95, 96, 99, 278, 283]"
18414,"[3, 49, 68, 164]"
10647,"[3, 49, 68, 164]"
20370,"[3, 49, 68, 164]"
11848,"[3, 49, 68, 164]"
8881,"[3, 49, 68, 164]"
24590,"[3, 49, 62, 70]"
4690,"[3, 49, 62, 70]"
27256,"[3, 49, 62, 64, 70, 154]"
17162,"[3, 71, 89, 271]"
6859,"[3, 71, 89, 271]"
3039,"[3, 71, 89, 271]"
21486,"[3, 71, 89, 271]"
11549,"[3, 71, 89, 271]"
26246,"[3, 71, 89, 271]"
7805,"[3, 71, 90, 272]"
2610,"[3, 71, 88, 91, 174, 275]"
6421,"[3, 71, 97, 279]"
23418,"[3, 71, 97, 279]"
1871,"[3, 71, 98, 209]"
22288,"[3, 71, 98, 209]"
4591,"[3, 71, 98, 209]"
19528,"[3, 71, 98, 209]"
856,"[3, 71, 98, 209]"
24972,"[3, 71, 98, 209]"
12590,"[3, 71, 100, 189]"
26191,"[3, 71, 100, 189]"
10671,"[3, 71, 100, 189]"
23172,"[3, 71, 100, 189]"
21799,"[3, 101, 338, 339]"
13028,"[3, 101, 106, 338, 340, 342]"
18742,"[3, 101, 338, 340]"
19333,"[3, 101, 102, 338, 339]"
14537,"[3, 101, 338, 340]"
3275,"[3, 101, 338, 340]"
6919,"[3, 101, 104, 105, 342]"
9458,"[3, 101, 104, 106, 342]"
13382,"[3, 101, 104, 106, 342]"
24142,"[3, 101, 342, 343]"
10311,"[3, 101, 338, 340]"
2881,"[3, 101, 338, 340]"
14405,"[3, 101, 338, 340]"
19419,"[3, 101, 338, 340]"
24766,"[3, 101, 338, 340]"
15162,"[3, 101, 338, 340]"
15752,"[3, 101, 338, 340]"
4079,"[3, 101, 338, 340]"
24029,"[3, 101, 104, 109, 342]"
16093,"[3, 101, 104, 109, 342]"
5963,"[3, 101, 104, 109, 342]"
1582,"[3, 101, 104, 109, 342]"
12954,"[3, 101, 109, 342]"
21410,"[3, 101, 111, 348]"
12835,"[3, 101, 348, 350]"
27515,"[3, 101, 113, 336]"
23212,"[3, 101, 113, 336]"
3509,"[3, 101, 113, 336]"
8805,"[3, 101, 113, 336]"
6891,"[3, 101, 113, 336]"
22041,"[3, 101, 113, 336]"
606,"[3, 101, 115, 342]"
12024,"[3, 101, 102, 116, 338, 342]"
31,"[3, 101, 116, 338, 339, 342]"
19707,"[3, 101, 104, 116, 342]"
15652,"[3, 32, 101, 104, 117, 331, 332, 342]"
18076,"[3, 101, 118, 342]"
2258,"[3, 101, 118, 342]"
12893,"[3, 101, 118, 342]"
22813,"[3, 101, 118, 342]"
2869,"[3, 71, 98, 195]"
4036,"[3, 71, 90, 272]"
7916,"[3, 71, 272, 273]"
6049,"[3, 49, 61, 171]"
5038,"[3, 49, 61, 171]"
25920,"[3, 71, 100, 189]"
21473,"[3, 101, 112, 348, 349]"
26622,"[3, 32, 39, 225]"
13776,"[3, 71, 73, 74]"
3494,"[3, 71, 74, 439]"
12343,"[3, 71, 73, 74]"
22788,"[3, 71, 74, 181]"
18756,"[3, 71, 74, 181]"
4738,"[3, 71, 74, 439]"
17854,"[3, 71, 74, 181]"
6523,"[3, 71, 73, 74]"
19637,"[3, 32, 71, 74, 144, 203, 1177]"
22144,"[3, 71, 74, 439]"
5491,"[3, 32, 39, 101, 109, 225, 342, 1187]"
8157,"[3, 101, 109, 342]"
2121,"[3, 49, 154, 649]"
17623,"[3, 49, 154, 649]"
19282,"[3, 49, 154, 649]"
20117,"[3, 49, 154, 649]"
21337,"[3, 49, 154, 649]"
2964,"[3, 49, 154, 649]"
23790,"[3, 49, 154, 649]"
4229,"[3, 32, 144, 204]"
22345,"[3, 32, 144, 204]"
6737,"[3, 32, 144, 204]"
3599,"[3, 32, 144, 204]"
11835,"[3, 32, 144, 204]"
18321,"[3, 49, 51, 152]"
20522,"[3, 49, 51, 152]"
16515,"[3, 49, 52, 153]"
5856,"[3, 49, 52, 153]"
25797,"[3, 49, 52, 153]"
25783,"[3, 49, 52, 153]"
3462,"[3, 49, 52, 153]"
10739,"[3, 49, 52, 153]"
22475,"[3, 49, 52, 153]"
18201,"[3, 49, 53, 153]"
15694,"[3, 49, 54, 81, 261, 409]"
16693,"[3, 49, 59, 165]"
15090,"[3, 49, 59, 165]"
9720,"[3, 49, 59, 165]"
16394,"[3, 49, 59, 165]"
25436,"[3, 49, 59, 165]"
24928,"[3, 49, 61, 171]"
23506,"[3, 49, 61, 171]"
20755,"[3, 49, 61, 171]"
19046,"[3, 49, 61, 171]"
2491,"[3, 49, 61, 171]"
25025,"[3, 32, 36, 49, 61, 171, 223]"
21972,"[3, 49, 61, 171]"
399,"[3, 49, 61, 171]"
18801,"[3, 32, 36, 49, 61, 171, 223]"
5485,"[3, 49, 61, 171]"
7786,"[3, 49, 61, 171]"
22308,"[3, 49, 61, 171]"
18893,"[3, 49, 64, 154]"
13249,"[3, 49, 64, 154]"
4397,"[3, 49, 64, 154]"
12737,"[3, 49, 64, 154]"
17887,"[3, 49, 64, 154]"
13355,"[3, 49, 64, 154]"
1266,"[3, 49, 64, 154]"
20981,"[3, 49, 64, 154]"
14810,"[3, 49, 64, 154]"
12985,"[3, 49, 64, 154]"
2032,"[3, 49, 64, 154]"
27316,"[3, 49, 64, 154]"
25423,"[3, 49, 65, 154]"
17214,"[3, 49, 65, 154]"
13281,"[3, 49, 65, 154]"
2679,"[3, 49, 65, 154]"
15951,"[3, 49, 65, 154]"
14179,"[3, 49, 65, 154]"
11786,"[3, 49, 65, 154]"
7824,"[3, 49, 65, 154]"
15146,"[3, 49, 65, 154]"
23849,"[3, 49, 67, 156]"
2793,"[3, 32, 39, 101, 102, 228, 338]"
26288,"[3, 101, 108, 342]"
25546,"[3, 101, 108, 342]"
17072,"[3, 101, 108, 342]"
24090,"[3, 101, 108, 342]"
9013,"[3, 101, 109, 342]"
18927,"[3, 101, 109, 342]"
8112,"[3, 101, 109, 342]"
5479,"[3, 101, 109, 342]"
564,"[3, 101, 109, 342]"
12563,"[3, 101, 109, 342]"
26793,"[3, 101, 109, 342]"
19239,"[3, 101, 109, 342]"
5719,"[3, 101, 110, 348]"
10973,"[3, 101, 110, 348]"
24469,"[3, 101, 110, 348]"
11903,"[3, 101, 110, 348]"
280,"[3, 101, 110, 348]"
3962,"[3, 101, 110, 348]"
12650,"[3, 101, 110, 348]"
14158,"[3, 101, 110, 348]"
7153,"[3, 101, 110, 348]"
12443,"[3, 101, 110, 348]"
19097,"[3, 101, 110, 348]"
23697,"[3, 101, 110, 348]"
5657,"[3, 101, 111, 348]"
3458,"[3, 32, 37, 101, 111, 219, 348]"
19255,"[3, 101, 111, 348]"
11531,"[3, 101, 111, 348]"
13419,"[3, 101, 111, 348]"
4887,"[3, 101, 111, 348]"
17916,"[3, 101, 348, 350]"
19930,"[3, 101, 348, 350]"
4256,"[3, 101, 348, 350]"
23979,"[3, 101, 348, 350]"
20364,"[3, 101, 348, 350]"
20011,"[3, 101, 348, 350]"
286,"[3, 101, 348, 350]"
1718,"[3, 101, 348, 350]"
570,"[3, 101, 348, 350]"
10372,"[3, 101, 348, 350]"
3670,"[3, 32, 37, 219]"
20456,"[3, 32, 37, 221]"
19724,"[3, 71, 178, 179]"
9623,"[3, 101, 116, 342]"
12072,"[3, 101, 116, 342]"
24796,"[3, 101, 102, 116, 338, 342]"
7949,"[3, 101, 116, 338, 339, 342]"
1562,"[3, 101, 116, 338, 339, 342]"
4301,"[3, 101, 102, 116, 338, 342]"
1707,"[3, 101, 102, 116, 338, 342]"
15137,"[3, 32, 144, 204]"
11680,"[3, 32, 144, 204]"
9843,"[3, 32, 144, 204]"
7811,"[3, 32, 144, 204]"
2759,"[3, 32, 144, 204]"
12194,"[3, 32, 144, 204]"
10346,"[3, 32, 144, 204]"
12177,"[3, 32, 144, 204]"
17367,"[3, 32, 144, 204]"
25249,"[3, 32, 144, 204]"
20945,"[3, 32, 144, 204]"
10437,"[3, 32, 144, 204]"
13320,"[3, 32, 144, 204]"
1859,"[3, 32, 144, 204]"
21202,"[3, 32, 144, 204]"
26207,"[3, 32, 36, 222]"
10144,"[3, 32, 36, 222]"
12410,"[3, 32, 36, 222]"
4856,"[3, 32, 36, 222]"
21079,"[3, 32, 36, 222]"
18902,"[3, 32, 36, 222]"
21289,"[3, 32, 36, 222]"
14685,"[3, 32, 36, 223]"
21243,"[3, 32, 36, 223]"
7737,"[3, 32, 36, 223]"
4241,"[3, 32, 36, 223]"
15926,"[3, 32, 36, 223]"
11990,"[3, 32, 36, 223]"
6742,"[3, 32, 36, 223]"
3694,"[3, 32, 36, 223]"
6946,"[3, 32, 36, 223]"
24084,"[3, 32, 36, 224]"
9253,"[3, 32, 36, 224]"
4159,"[3, 32, 36, 224]"
21348,"[3, 32, 36, 224]"
5962,"[3, 32, 36, 224]"
26727,"[3, 32, 36, 224]"
5062,"[3, 32, 36, 224]"
18922,"[3, 32, 36, 224]"
21484,"[3, 32, 36, 224]"
17910,"[3, 32, 36, 224]"
12007,"[3, 32, 36, 144, 202, 224]"
6937,"[3, 32, 36, 144, 202, 224]"
26951,"[3, 32, 36, 144, 202, 224]"
25844,"[3, 32, 36, 144, 202, 224]"
3625,"[3, 32, 36, 144, 202, 224]"
23142,"[3, 32, 36, 144, 202, 224]"
11197,"[3, 32, 36, 144, 202, 224]"
5667,"[3, 32, 36, 144, 202, 224]"
13520,"[3, 32, 36, 144, 202, 224]"
18943,"[3, 32, 36, 144, 202, 224]"
669,"[3, 32, 37, 220]"
26497,"[3, 32, 37, 220]"
5102,"[3, 32, 37, 220]"
12608,"[3, 32, 37, 220]"
2705,"[3, 32, 37, 220]"
14148,"[3, 32, 37, 220]"
6514,"[3, 32, 37, 220]"
14859,"[3, 32, 37, 220]"
4184,"[3, 32, 37, 220]"
15154,"[3, 32, 37, 220]"
25819,"[3, 32, 37, 220]"
18962,"[3, 32, 37, 220]"
553,"[3, 32, 37, 220]"
19043,"[3, 32, 37, 220]"
1963,"[3, 32, 37, 220]"
26277,"[3, 32, 37, 219]"
12224,"[3, 32, 37, 219]"
4449,"[3, 32, 37, 219]"
6432,"[3, 32, 37, 219]"
14694,"[3, 32, 37, 219]"
13483,"[3, 32, 37, 219]"
14845,"[3, 32, 37, 219]"
12727,"[3, 32, 37, 219]"
27031,"[3, 32, 37, 219]"
10203,"[3, 32, 37, 219]"
2067,"[3, 32, 39, 226]"
8461,"[3, 32, 39, 226]"
27201,"[3, 32, 39, 226]"
1413,"[3, 32, 39, 226]"
19819,"[3, 32, 39, 226]"
11124,"[3, 32, 39, 226]"
7021,"[3, 32, 39, 226]"
7016,"[3, 32, 39, 226]"
11977,"[3, 32, 39, 227]"
24143,"[3, 32, 39, 227]"
20934,"[3, 32, 39, 227]"
23089,"[3, 32, 39, 227]"
24342,"[3, 32, 39, 227]"
25375,"[3, 32, 39, 225]"
25116,"[3, 32, 39, 225]"
12480,"[3, 32, 39, 225]"
14192,"[3, 32, 39, 225]"
12711,"[3, 32, 39, 225]"
11161,"[3, 32, 39, 225]"
10080,"[3, 32, 39, 225]"
22559,"[3, 32, 39, 225]"
14277,"[3, 32, 39, 225]"
17230,"[3, 32, 39, 225]"
14880,"[3, 32, 39, 225]"
734,"[3, 32, 39, 225]"
7710,"[3, 32, 39, 225]"
23787,"[3, 32, 39, 225]"
1591,"[3, 32, 40, 247]"
8971,"[3, 32, 40, 247]"
15455,"[3, 32, 40, 49, 62, 247, 253]"
22372,"[3, 32, 40, 49, 62, 247, 252, 253]"
22871,"[3, 32, 40, 247]"
7826,"[3, 32, 40, 49, 62, 247, 252]"
1025,"[3, 32, 40, 49, 62, 247, 252]"
26041,"[3, 32, 42, 144, 203, 211]"
2565,"[3, 32, 42, 211]"
2934,"[3, 32, 44, 233]"
21026,"[3, 32, 44, 233]"
22069,"[3, 32, 44, 233]"
26699,"[3, 32, 44, 233]"
3380,"[3, 32, 44, 233]"
10047,"[3, 32, 44, 233]"
18486,"[3, 32, 44, 233]"
3304,"[3, 32, 44, 233]"
7693,"[3, 32, 44, 233]"
10660,"[3, 32, 44, 233]"
20815,"[3, 32, 44, 233]"
23605,"[3, 32, 44, 233]"
2414,"[3, 32, 44, 233]"
19598,"[3, 71, 73, 74]"
14355,"[3, 71, 73, 74]"
25971,"[3, 71, 73, 74, 181]"
3207,"[3, 71, 75, 178]"
2381,"[3, 71, 77, 184]"
24748,"[3, 71, 77, 184]"
25838,"[3, 71, 77, 184]"
13702,"[3, 71, 77, 184]"
23463,"[3, 71, 74, 77, 78, 184]"
19983,"[3, 71, 74, 77, 78, 184]"
2224,"[3, 71, 77, 184]"
18930,"[3, 71, 77, 185]"
22627,"[3, 71, 77, 185]"
3793,"[3, 71, 77, 185]"
2369,"[3, 71, 77, 185]"
7852,"[3, 71, 77, 187]"
11869,"[3, 71, 77, 186]"
10715,"[3, 71, 77, 186]"
12312,"[3, 71, 77, 186]"
13195,"[3, 71, 77, 186, 187]"
15969,"[3, 71, 77, 186, 187]"
5868,"[3, 71, 77, 186, 187]"
3950,"[3, 71, 88, 174]"
23911,"[3, 71, 88, 174]"
10937,"[3, 71, 88, 174]"
23910,"[3, 71, 88, 174]"
16858,"[3, 71, 88, 174]"
9751,"[3, 71, 88, 174]"
4872,"[3, 71, 90, 272]"
298,"[3, 71, 90, 272]"
6334,"[3, 71, 90, 272]"
14183,"[3, 71, 95, 278]"
25095,"[3, 71, 95, 278]"
9862,"[3, 71, 95, 278]"
23126,"[3, 71, 95, 278]"
18008,"[3, 71, 95, 278]"
23009,"[3, 71, 95, 278]"
5337,"[3, 71, 95, 278]"
22316,"[3, 71, 95, 278]"
3037,"[3, 71, 95, 278]"
15364,"[3, 71, 97, 279]"
11622,"[3, 71, 97, 279]"
23074,"[3, 71, 97, 279]"
14556,"[3, 71, 97, 279]"
4858,"[3, 71, 97, 279]"
24545,"[3, 71, 97, 279]"
7049,"[3, 71, 97, 279]"
19671,"[3, 71, 97, 279]"
25865,"[3, 71, 97, 279]"
3372,"[3, 49, 56, 71, 97, 158, 282, 1169]"
5306,"[3, 49, 56, 71, 97, 158, 282, 1169]"
10793,"[3, 49, 56, 71, 97, 158, 282, 1169]"
17065,"[3, 49, 56, 71, 97, 158, 282, 1169]"
10794,"[3, 49, 56, 71, 97, 158, 282, 1169]"
1393,"[3, 49, 56, 71, 97, 158, 282, 1169]"
9231,"[3, 49, 56, 71, 97, 158, 282, 1169]"
4596,"[3, 71, 98, 195]"
10196,"[3, 71, 98, 195]"
7616,"[3, 71, 98, 195]"
3985,"[3, 71, 98, 195]"
3272,"[3, 71, 98, 195]"
14781,"[3, 71, 98, 198]"
16061,"[3, 71, 98, 198]"
14042,"[3, 71, 98, 198]"
5619,"[3, 71, 98, 195]"
23012,"[3, 71, 98, 195]"
26582,"[3, 32, 37, 219]"
18865,"[3, 32, 37, 220]"
16795,"[3, 32, 36, 222]"
13844,"[3, 32, 39, 227]"
18383,"[3, 32, 39, 227]"
16510,"[3, 49, 67, 156]"
13521,"[3, 49, 50, 62, 67, 70, 152, 156]"
22430,"[3, 32, 39, 227]"
11945,"[3, 49, 71, 81, 89, 271, 410]"
5891,"[3, 49, 54, 263, 656]"
2516,"[3, 119, 128, 430]"
18773,"[3, 119, 128, 430]"
12126,"[3, 49, 55, 654]"
11568,"[3, 119, 139, 417]"
22401,"[3, 49, 63, 154]"
6912,"[3, 49, 63, 154]"
647,"[3, 49, 63, 154]"
13639,"[3, 49, 55, 266]"
1363,"[3, 49, 55, 266]"
726,"[3, 49, 55, 266]"
20949,"[3, 49, 55, 266]"
24732,"[3, 71, 86, 178]"
2445,"[3, 49, 56, 158]"
9415,"[3, 49, 56, 158]"
10994,"[3, 49, 56, 158]"
927,"[3, 49, 56, 68, 158, 163]"
8390,"[3, 49, 56, 68, 158, 163]"
2574,"[3, 49, 56, 68, 158, 163]"
22905,"[3, 49, 56, 68, 158, 163]"
1216,"[3, 49, 56, 68, 158, 163]"
13498,"[3, 49, 56, 68, 158, 163]"
27259,"[3, 49, 57, 158]"
9795,"[3, 49, 57, 158]"
27481,"[3, 49, 55, 654]"
2496,"[3, 49, 55, 654]"
16924,"[3, 49, 55, 654]"
12911,"[3, 49, 55, 654]"
4470,"[3, 49, 55, 654]"
17842,"[3, 71, 74, 78]"
19777,"[3, 71, 74, 78]"
11353,"[3, 71, 74, 78]"
14296,"[3, 71, 74, 78]"
879,"[3, 49, 64, 154]"
3349,"[3, 32, 37, 219]"
5398,"[3, 32, 37, 220]"
5992,"[3, 32, 37, 220]"
12614,"[3, 32, 37, 219]"
26427,"[3, 71, 74, 76]"
9854,"[3, 71, 74, 76]"
2042,"[3, 71, 74, 76, 182]"
26179,"[3, 71, 74, 76]"
25791,"[3, 71, 74, 76]"
19935,"[3, 71, 74, 76]"
3739,"[3, 71, 74, 76]"
3385,"[3, 71, 74, 76]"
1508,"[3, 71, 74, 76]"
16791,"[3, 71, 74, 76]"
21205,"[3, 71, 74, 76]"
24008,"[3, 71, 74, 76]"
23474,"[3, 71, 74, 76]"
13319,"[3, 71, 74, 76]"
23097,"[3, 71, 74, 76]"
19185,"[3, 71, 74, 76]"
17815,"[3, 71, 74, 76]"
17551,"[3, 71, 74, 182]"
1876,"[3, 71, 74, 76, 182]"
787,"[3, 71, 74, 76]"
26760,"[3, 71, 74, 76]"
2947,"[3, 71, 74, 76]"
3198,"[3, 49, 62, 70, 71, 86, 178, 251, 1176]"
2450,"[3, 32, 46, 240]"
1414,"[3, 71, 74, 182]"
5846,"[3, 49, 51, 62, 70, 71, 75, 152, 178, 1176]"
19370,"[3, 71, 86, 178]"
6811,"[3, 71, 75, 178]"
1124,"[3, 71, 75, 178]"
414,"[3, 71, 74, 181]"
9754,"[3, 71, 74, 181]"
11697,"[3, 71, 74, 183]"
18874,"[3, 71, 74, 180]"
19514,"[3, 71, 74, 180]"
17805,"[3, 71, 74, 180]"
9929,"[3, 71, 74, 180]"
3808,"[3, 71, 74, 180]"
4953,"[3, 71, 74, 180]"
6743,"[3, 71, 74, 180]"
6103,"[3, 71, 74, 180]"
8395,"[3, 71, 74, 180]"
24515,"[3, 71, 74, 180]"
11457,"[3, 71, 74, 180]"
5767,"[3, 71, 74, 180]"
10468,"[3, 71, 74, 180]"
18489,"[3, 71, 74, 180]"
13351,"[3, 49, 55, 265]"
13299,"[3, 71, 74, 182]"
5510,"[3, 71, 74, 182]"
10895,"[3, 71, 74, 182]"
16937,"[3, 71, 74, 182]"
17601,"[3, 71, 74, 182]"
18738,"[3, 71, 74, 182]"
11370,"[3, 71, 74, 182]"
1050,"[3, 71, 74, 182]"
16168,"[3, 49, 54, 259]"
12068,"[3, 49, 54, 258]"
25651,"[3, 49, 54, 258]"
18363,"[3, 49, 54, 259]"
234,"[3, 49, 54, 259]"
24268,"[3, 49, 54, 259]"
20663,"[3, 49, 54, 259]"
15229,"[3, 49, 54, 259]"
4950,"[3, 101, 104, 342]"
6040,"[3, 101, 104, 342]"
8225,"[3, 101, 104, 342]"
9557,"[3, 101, 104, 342]"
26005,"[3, 101, 104, 342]"
18983,"[3, 101, 104, 342]"
22946,"[3, 101, 105, 342]"
18186,"[3, 101, 105, 342]"
5200,"[3, 49, 53, 153]"
15202,"[3, 49, 55, 67, 156, 265]"
18867,"[3, 71, 86, 178]"
18449,"[3, 32, 48, 248]"
26486,"[3, 71, 83, 192]"
26094,"[3, 71, 83, 192]"
8734,"[3, 71, 83, 192]"
84,"[3, 71, 83, 192]"
7623,"[3, 71, 83, 193]"
16522,"[3, 49, 54, 259]"
5169,"[3, 71, 178, 179]"
5173,"[3, 71, 99, 284]"
19192,"[3, 71, 99, 284]"
10003,"[3, 71, 99, 284]"
20899,"[3, 71, 99, 284]"
4513,"[3, 71, 99, 284]"
12514,"[3, 71, 99, 284]"
23866,"[3, 71, 99, 284]"
8897,"[3, 71, 99, 284]"
2986,"[3, 71, 99, 284]"
5239,"[3, 71, 99, 284]"
7659,"[3, 71, 99, 284]"
258,"[3, 71, 99, 284]"
18639,"[3, 71, 99, 284]"
8250,"[3, 49, 62, 251]"
13621,"[3, 49, 62, 252]"
10776,"[3, 49, 62, 251]"
25687,"[3, 49, 62, 251]"
13315,"[3, 49, 62, 70, 153, 256]"
20300,"[3, 71, 97, 279]"
20220,"[3, 71, 97, 279]"
4568,"[3, 71, 97, 279]"
21470,"[3, 71, 97, 279]"
